title,start_year,end_year,production_span,genres,media_type,actor_name,actor_tmdb_id,actor_gender_code,actor_gender,actor_ethnicity,actor_sexuality,actor_age_at_release,character_name,is_named_character,character_gender,character_ethnicity,character_sexuality,gender_mismatch,ethnicity_mismatch,sexuality_mismatch,billing_order,role_type,prominence_score,sympathy_coding,arc_quality
The Boys,2019,2026,8,Sci-Fi & Fantasy|Action & Adventure,tv,Jack Quaid,1030513,2,male,,,,Hugh 'Hughie' Campbell,True,,,,,,,2,lead,0.1644,,
The Boys,2019,2026,8,Sci-Fi & Fantasy|Action & Adventure,tv,Antony Starr,60373,2,male,,,,Homelander,True,,,,,,,3,lead,0.1096,,
The Boys,2019,2026,8,Sci-Fi & Fantasy|Action & Adventure,tv,Erin Moriarty,990393,1,female,,,,Annie January / Starlight,True,,,,,,,4,supporting,0.0822,,
The Boys,2019,2026,8,Sci-Fi & Fantasy|Action & Adventure,tv,Jessie T. Usher,198847,2,male,,,,Reggie Franklin / A-Train,True,,,,,,,6,supporting,0.0548,,
The Boys,2019,2026,8,Sci-Fi & Fantasy|Action & Adventure,tv,Laz Alonso,10964,2,male,,,,Marvin T. 'Mother's Milk' Milk / M.M.,True,,,,,,,7,supporting,0.047,,
The Boys,2019,2026,8,Sci-Fi & Fantasy|Action & Adventure,tv,Chace Crawford,60899,2,male,,,,Kevin Moskowitz / The Deep,True,,,,,,,8,supporting,0.0411,,
The Boys,2019,2026,8,Sci-Fi & Fantasy|Action & Adventure,tv,Tomer Capone,1550587,2,male,,,,Serge / Frenchie,True,,,,,,,9,supporting,0.0365,,
The Boys,2019,2026,8,Sci-Fi & Fantasy|Action & Adventure,tv,Karen Fukuhara,1461608,1,female,,,,Kimiko Miyashiro,True,,,,,,,10,supporting,0.0329,,
The Boys,2019,2026,8,Sci-Fi & Fantasy|Action & Adventure,tv,Nathan Mitchell,229422,2,male,,,,Black Noir II,True,,,,,,,13,minor,0.0253,,
The Boys,2019,2026,8,Sci-Fi & Fantasy|Action & Adventure,tv,Colby Minifie,1157294,1,female,,,,Ashley Barrett,True,,,,,,,14,minor,0.0235,,
The Boys,2019,2026,8,Sci-Fi & Fantasy|Action & Adventure,tv,Cameron Crovetti,1696015,2,male,,,,Ryan,True,,,,,,,17,minor,0.0193,,
The Boys,2019,2026,8,Sci-Fi & Fantasy|Action & Adventure,tv,Susan Heyward,1422261,1,female,,,,Jessica Bradley / Sister Sage,True,,,,,,,18,minor,0.0183,,
The Boys,2019,2026,8,Sci-Fi & Fantasy|Action & Adventure,tv,Valorie Curry,1181426,1,female,,,,Misty Tucker Gray / Firecracker,True,,,,,,,20,minor,0.0164,,
Grey's Anatomy,2005,2026,22,Drama,tv,Ellen Pompeo,9280,1,female,,,,Meredith Grey,True,,,,,,,1,lead,0.415,,
Grey's Anatomy,2005,2026,22,Drama,tv,Chandra Wilson,171075,1,female,,,,Miranda Bailey,True,,,,,,,2,lead,0.2075,,
Grey's Anatomy,2005,2026,22,Drama,tv,James Pickens Jr.,25544,2,male,,,,Richard Webber,True,,,,,,,5,supporting,0.083,,
Grey's Anatomy,2005,2026,22,Drama,tv,Caterina Scorsone,81684,1,female,,,,Amelia Shepherd,True,,,,,,,7,supporting,0.0593,,
Grey's Anatomy,2005,2026,22,Drama,tv,Camilla Luddington,236021,1,female,,,,Jo Wilson,True,,,,,,,8,supporting,0.0519,,
Grey's Anatomy,2005,2026,22,Drama,tv,Kevin McKidd,9013,2,male,,,,Owen Hunt,True,,,,,,,9,supporting,0.0461,,
Grey's Anatomy,2005,2026,22,Drama,tv,Kim Raver,17836,1,female,,,,Teddy Altman,True,,,,,,,11,minor,0.0377,,
Grey's Anatomy,2005,2026,22,Drama,tv,Jason George,95475,2,male,,,,Ben Warren,True,,,,,,,14,minor,0.0296,,
Grey's Anatomy,2005,2026,22,Drama,tv,Chris Carmack,87440,2,male,,,,Atticus Lincoln,True,,,,,,,16,minor,0.0259,,
Grey's Anatomy,2005,2026,22,Drama,tv,Anthony Hill,1583975,2,male,,,,Winston Ndugu,True,,,,,,,18,minor,0.0231,,
Grey's Anatomy,2005,2026,22,Drama,tv,Adelaide Kane,131781,1,female,,,,Jules Millin,True,,,,,,,20,minor,0.0208,,
Peaky Blinders,2013,2022,10,Drama|Crime,tv,Cillian Murphy,2037,2,male,,,,Thomas Shelby,True,,,,,,,1,lead,0.5815,,
Peaky Blinders,2013,2022,10,Drama|Crime,tv,Paul Anderson,220448,2,male,,,,Arthur Shelby,True,,,,,,,2,lead,0.2907,,
Peaky Blinders,2013,2022,10,Drama|Crime,tv,Sophie Rundle,1088620,1,female,,,,Ada Shelby,True,,,,,,,7,supporting,0.0831,,
Peaky Blinders,2013,2022,10,Drama|Crime,tv,Natasha O'Keeffe,1167897,1,female,,,,Lizzie Stark,True,,,,,,,13,minor,0.0447,,
Game of Thrones,2011,2019,9,Sci-Fi & Fantasy|Drama|Action & Adventure,tv,Peter Dinklage,22970,2,male,,,,Tyrion 'The Halfman' Lannister,True,,,,,,,1,lead,0.4244,,
Game of Thrones,2011,2019,9,Sci-Fi & Fantasy|Drama|Action & Adventure,tv,Kit Harington,239019,2,male,,,,Jon Snow,True,,,,,,,2,lead,0.2122,,
Game of Thrones,2011,2019,9,Sci-Fi & Fantasy|Drama|Action & Adventure,tv,Nikolaj Coster-Waldau,12795,2,male,,,,Sir Jaime 'Kingslayer' Lannister,True,,,,,,,6,supporting,0.0707,,
Game of Thrones,2011,2019,9,Sci-Fi & Fantasy|Drama|Action & Adventure,tv,Lena Headey,17286,1,female,,,,Cersei Lannister,True,,,,,,,7,supporting,0.0606,,
Game of Thrones,2011,2019,9,Sci-Fi & Fantasy|Drama|Action & Adventure,tv,Emilia Clarke,1223786,1,female,,,,Daenerys Targaryen,True,,,,,,,9,supporting,0.0472,,
Game of Thrones,2011,2019,9,Sci-Fi & Fantasy|Drama|Action & Adventure,tv,Liam Cunningham,15498,2,male,,,,Davos Seaworth,True,,,,,,,10,supporting,0.0424,,
Game of Thrones,2011,2019,9,Sci-Fi & Fantasy|Drama|Action & Adventure,tv,Maisie Williams,1181313,1,female,,,,Arya Stark,True,,,,,,,11,minor,0.0386,,
Game of Thrones,2011,2019,9,Sci-Fi & Fantasy|Drama|Action & Adventure,tv,Isaac Hempstead Wright,239020,2,male,,,,Brandon 'Bran' Stark,True,,,,,,,13,minor,0.0326,,
Game of Thrones,2011,2019,9,Sci-Fi & Fantasy|Drama|Action & Adventure,tv,Sophie Turner,1001657,1,female,,,,Sansa Stark,True,,,,,,,16,minor,0.0265,,
Game of Thrones,2011,2019,9,Sci-Fi & Fantasy|Drama|Action & Adventure,tv,John Bradley,1010135,2,male,,,,Samwell 'Sam' Tarly,True,,,,,,,18,minor,0.0236,,
Game of Thrones,2011,2019,9,Sci-Fi & Fantasy|Drama|Action & Adventure,tv,Rory McCann,3075,2,male,,,,Sandor 'The Hound' Clegane,True,,,,,,,20,minor,0.0212,,
NCIS,2003,2026,24,Crime|Drama|Action & Adventure,tv,Sean Murray,1230381,2,male,,,,Timothy McGee,True,,,,,,,2,lead,0.3938,,
NCIS,2003,2026,24,Crime|Drama|Action & Adventure,tv,Wilmer Valderrama,18975,2,male,,,,Nick Torres,True,,,,,,,4,supporting,0.1969,,
NCIS,2003,2026,24,Crime|Drama|Action & Adventure,tv,Katrina Law,164930,1,female,,,,Jessica Knight,True,,,,,,,5,supporting,0.1575,,
NCIS,2003,2026,24,Crime|Drama|Action & Adventure,tv,Brian Dietzen,1213580,2,male,,,,Jimmy Palmer,True,,,,,,,7,supporting,0.1125,,
NCIS,2003,2026,24,Crime|Drama|Action & Adventure,tv,Rocky Carroll,27448,2,male,,,,Leon Vance,True,,,,,,,16,minor,0.0492,,
NCIS,2003,2026,24,Crime|Drama|Action & Adventure,tv,Diona Reasonover,1470346,1,female,,,,Kasie Hines,True,,,,,,,17,minor,0.0463,,
NCIS,2003,2026,24,Crime|Drama|Action & Adventure,tv,Gary Cole,21163,2,male,,,,Alden Parker,True,,,,,,,18,minor,0.0438,,
Shameless,2011,2021,11,Drama|Comedy,tv,William H. Macy,3905,2,male,,,,Frank Gallagher,True,,,,,,,2,lead,0.2835,,
Shameless,2011,2021,11,Drama|Comedy,tv,Jeremy Allen White,206905,2,male,,,,Lip Gallagher,True,,,,,,,4,supporting,0.1418,,
Shameless,2011,2021,11,Drama|Comedy,tv,Ethan Cutkosky,132213,2,male,,,,Carl Gallagher,True,,,,,,,5,supporting,0.1134,,
Shameless,2011,2021,11,Drama|Comedy,tv,Shanola Hampton,110531,1,female,,,,Veronica Fisher,True,,,,,,,6,supporting,0.0945,,
Shameless,2011,2021,11,Drama|Comedy,tv,Steve Howey,81388,2,male,,,,Kevin Ball,True,,,,,,,7,supporting,0.081,,
Shameless,2011,2021,11,Drama|Comedy,tv,Emma Kenney,1252801,1,female,,,,Debbie Gallagher,True,,,,,,,8,supporting,0.0709,,
Shameless,2011,2021,11,Drama|Comedy,tv,Christian Isaiah,2563541,2,male,,,,Liam Gallagher,True,,,,,,,9,supporting,0.063,,
Shameless,2011,2021,11,Drama|Comedy,tv,Cameron Monaghan,37089,2,male,,,,Ian Gallagher,True,,,,,,,10,supporting,0.0567,,
Shameless,2011,2021,11,Drama|Comedy,tv,Noel Fisher,80352,2,male,,,,Mickey Milkovich,True,,,,,,,11,minor,0.0516,,
Shameless,2011,2021,11,Drama|Comedy,tv,Kate Miner,214695,1,female,,,,Tami Tamietti,True,,,,,,,13,minor,0.0436,,
Breaking Bad,2008,2013,6,Drama|Crime,tv,Bryan Cranston,17419,2,male,,,,Walter White,True,,,,,,,1,lead,0.3738,,
Breaking Bad,2008,2013,6,Drama|Crime,tv,Aaron Paul,84497,2,male,,,,Jesse Pinkman,True,,,,,,,2,lead,0.1869,,
Breaking Bad,2008,2013,6,Drama|Crime,tv,Anna Gunn,134531,1,female,,,,Skyler White,True,,,,,,,3,lead,0.1246,,
Breaking Bad,2008,2013,6,Drama|Crime,tv,RJ Mitte,209674,2,male,,,,Walter White Jr.,True,,,,,,,4,supporting,0.0935,,
Breaking Bad,2008,2013,6,Drama|Crime,tv,Dean Norris,14329,2,male,,,,Hank Schrader,True,,,,,,,5,supporting,0.0748,,
Breaking Bad,2008,2013,6,Drama|Crime,tv,Betsy Brandt,1217934,1,female,,,,Marie Schrader,True,,,,,,,6,supporting,0.0623,,
Breaking Bad,2008,2013,6,Drama|Crime,tv,Bob Odenkirk,59410,2,male,,,,Saul Goodman,True,,,,,,,8,supporting,0.0467,,
Breaking Bad,2008,2013,6,Drama|Crime,tv,Jonathan Banks,783,2,male,,,,Mike Ehrmantraut,True,,,,,,,10,supporting,0.0374,,
Modern Family,2009,2020,12,Comedy,tv,Ed O'Neill,18977,2,male,,,,Jay Pritchett,True,,,,,,,1,lead,0.3174,,
Modern Family,2009,2020,12,Comedy,tv,Sofía Vergara,63522,1,female,,,,Gloria Delgado-Pritchett,True,,,,,,,2,lead,0.1587,,
Modern Family,2009,2020,12,Comedy,tv,Julie Bowen,31171,1,female,,,,Claire Dunphy,True,,,,,,,3,lead,0.1058,,
Modern Family,2009,2020,12,Comedy,tv,Ty Burrell,15232,2,male,,,,Phil Dunphy,True,,,,,,,4,supporting,0.0794,,
Modern Family,2009,2020,12,Comedy,tv,Jesse Tyler Ferguson,204815,2,male,,,,Mitchell Pritchett,True,,,,,,,5,supporting,0.0635,,
Modern Family,2009,2020,12,Comedy,tv,Eric Stonestreet,156962,2,male,,,,Cameron Tucker,True,,,,,,,6,supporting,0.0529,,
Modern Family,2009,2020,12,Comedy,tv,Sarah Hyland,91351,1,female,,,,Haley Dunphy,True,,,,,,,7,supporting,0.0453,,
Modern Family,2009,2020,12,Comedy,tv,Ariel Winter,42160,1,female,,,,Alex Dunphy,True,,,,,,,8,supporting,0.0397,,
Modern Family,2009,2020,12,Comedy,tv,Nolan Gould,147710,2,male,,,,Luke Dunphy,True,,,,,,,9,supporting,0.0353,,
Modern Family,2009,2020,12,Comedy,tv,Rico Rodriguez,206737,2,male,,,,Manny Delgado,True,,,,,,,10,supporting,0.0317,,
Modern Family,2009,2020,12,Comedy,tv,Aubrey Anderson-Emmons,1224228,1,female,,,,Lily Tucker-Pritchett,True,,,,,,,12,minor,0.0265,,
Modern Family,2009,2020,12,Comedy,tv,Jeremy Maguire,1676910,2,male,,,,Joe Pritchett,True,,,,,,,14,minor,0.0227,,
Modern Family,2009,2020,12,Comedy,tv,Reid Ewing,967692,2,male,,,,Dylan Marshall,True,,,,,,,15,minor,0.0212,,
Friends,1994,2004,11,Comedy,tv,Jennifer Aniston,4491,1,female,,,,Rachel Green,True,,,,,,,1,lead,0.4082,,
Friends,1994,2004,11,Comedy,tv,Courteney Cox,14405,1,female,,,,Monica Geller,True,,,,,,,2,lead,0.2041,,
Friends,1994,2004,11,Comedy,tv,Lisa Kudrow,14406,1,female,,,,Phoebe Buffay,True,,,,,,,3,lead,0.1361,,
Friends,1994,2004,11,Comedy,tv,Matt LeBlanc,14407,2,male,,,,Joey Tribbiani,True,,,,,,,4,supporting,0.102,,
Friends,1994,2004,11,Comedy,tv,Matthew Perry,14408,2,male,,,,Chandler Bing,True,,,,,,,5,supporting,0.0816,,
Friends,1994,2004,11,Comedy,tv,David Schwimmer,14409,2,male,,,,Ross Geller,True,,,,,,,6,supporting,0.068,,
The Walking Dead,2010,2022,13,Action & Adventure|Drama|Sci-Fi & Fantasy,tv,Lauren Cohan,62220,1,female,,,,Maggie Greene,True,,,,,,,4,supporting,0.2835,,
The Walking Dead,2010,2022,13,Action & Adventure|Drama|Sci-Fi & Fantasy,tv,Norman Reedus,4886,2,male,,,,Daryl Dixon,True,,,,,,,5,supporting,0.2268,,
The Walking Dead,2010,2022,13,Action & Adventure|Drama|Sci-Fi & Fantasy,tv,Jeffrey Dean Morgan,47296,2,male,,,,Negan Smith,True,,,,,,,9,supporting,0.126,,
The Walking Dead,2010,2022,13,Action & Adventure|Drama|Sci-Fi & Fantasy,tv,Melissa McBride,31535,1,female,,,,Carol Peletier,True,,,,,,,10,supporting,0.1134,,
The Walking Dead,2010,2022,13,Action & Adventure|Drama|Sci-Fi & Fantasy,tv,Christian Serratos,84224,1,female,,,,Rosita Espinosa,True,,,,,,,16,minor,0.0709,,
The Walking Dead,2010,2022,13,Action & Adventure|Drama|Sci-Fi & Fantasy,tv,Seth Gilliam,41688,2,male,,,,Gabriel Stokes,True,,,,,,,18,minor,0.063,,
The Walking Dead,2010,2022,13,Action & Adventure|Drama|Sci-Fi & Fantasy,tv,Ross Marquand,555249,2,male,,,,Aaron,True,,,,,,,19,minor,0.0597,,
The Walking Dead,2010,2022,13,Action & Adventure|Drama|Sci-Fi & Fantasy,tv,Josh McDermitt,1252310,2,male,,,,Eugene Porter,True,,,,,,,20,minor,0.0567,,
American Dad!,2005,2026,22,Animation|Comedy,tv,Seth MacFarlane,52139,2,male,,,,Stan Smith / Roger (voice),False,,,,,,,1,lead,0.438,,
American Dad!,2005,2026,22,Animation|Comedy,tv,Wendy Schaal,37600,1,female,,,,Francine Smith (voice),False,,,,,,,2,lead,0.219,,
American Dad!,2005,2026,22,Animation|Comedy,tv,Rachael MacFarlane,81668,1,female,,,,Hayley Smith (voice),False,,,,,,,3,lead,0.146,,
American Dad!,2005,2026,22,Animation|Comedy,tv,Scott Grimes,35091,2,male,,,,Steve Smith (voice),False,,,,,,,4,supporting,0.1095,,
American Dad!,2005,2026,22,Animation|Comedy,tv,Dee Bradley Baker,23680,2,male,,,,Klaus (voice),False,,,,,,,5,supporting,0.0876,,
Euphoria,2019,2026,8,Drama,tv,Zendaya,505710,1,female,,,,Rue Bennett,True,,,,,,,1,lead,0.3653,,
Euphoria,2019,2026,8,Drama,tv,Hunter Schafer,2340180,1,female,,,,Jules Vaughn,True,,,,,,,2,lead,0.1826,,
Euphoria,2019,2026,8,Drama,tv,Sydney Sweeney,115440,1,female,,,,Cassie Howard,True,,,,,,,3,lead,0.1218,,
Euphoria,2019,2026,8,Drama,tv,Jacob Elordi,2034418,2,male,,,,Nate Jacobs,True,,,,,,,4,supporting,0.0913,,
Euphoria,2019,2026,8,Drama,tv,Alexa Demie,1497557,1,female,,,,Maddy Perez,True,,,,,,,5,supporting,0.0731,,
Euphoria,2019,2026,8,Drama,tv,Maude Apatow,41090,1,female,,,,Lexi Howard,True,,,,,,,8,supporting,0.0457,,
Euphoria,2019,2026,8,Drama,tv,Eric Dane,58115,2,male,,,,Cal Jacobs,True,,,,,,,10,supporting,0.0365,,
Euphoria,2019,2026,8,Drama,tv,Martha Kelly,1572541,1,female,,,,Laurie,True,,,,,,,16,minor,0.0228,,
Euphoria,2019,2026,8,Drama,tv,Chloe Cherry,1585678,1,female,,,,Faye,True,,,,,,,17,minor,0.0215,,
Euphoria,2019,2026,8,Drama,tv,Adewale Akinnuoye-Agbaje,31164,2,male,,,,,True,,,,,,,18,minor,0.0203,,
Euphoria,2019,2026,8,Drama,tv,Toby Wallace,110419,2,male,,,,,True,,,,,,,19,minor,0.0192,,
Supernatural,2005,2020,16,Drama|Mystery|Sci-Fi & Fantasy,tv,Jared Padalecki,49623,2,male,,,,Sam Winchester,True,,,,,,,2,lead,0.5455,,
Supernatural,2005,2020,16,Drama|Mystery|Sci-Fi & Fantasy,tv,Jensen Ackles,49624,2,male,,,,Dean Winchester,True,,,,,,,4,supporting,0.2727,,
Supernatural,2005,2020,16,Drama|Mystery|Sci-Fi & Fantasy,tv,Misha Collins,42747,2,male,,,,Castiel,True,,,,,,,6,supporting,0.1818,,
Rick and Morty,2013,2025,13,Animation|Comedy|Sci-Fi & Fantasy|Action & Adventure,tv,Chris Parnell,51382,2,male,,,,Jerry Smith (voice),False,,,,,,,2,lead,0.3506,,
Rick and Morty,2013,2025,13,Animation|Comedy|Sci-Fi & Fantasy|Action & Adventure,tv,Spencer Grammer,176823,1,female,,,,Summer Smith (voice),False,,,,,,,3,lead,0.2337,,
Rick and Morty,2013,2025,13,Animation|Comedy|Sci-Fi & Fantasy|Action & Adventure,tv,Sarah Chalke,49001,1,female,,,,Beth Smith (voice),False,,,,,,,4,supporting,0.1753,,
Rick and Morty,2013,2025,13,Animation|Comedy|Sci-Fi & Fantasy|Action & Adventure,tv,Ian Cardoni,4322756,2,male,,,,Rick Sanchez (voice),False,,,,,,,5,supporting,0.1402,,
Rick and Morty,2013,2025,13,Animation|Comedy|Sci-Fi & Fantasy|Action & Adventure,tv,Harry Belden,4129855,2,male,,,,Morty Smith (voice),False,,,,,,,7,supporting,0.1002,,
The Last Of Us,2023,2025,3,Drama,tv,Bella Ramsey,1668004,3,unspecified,,,,Ellie Williams,True,,,,,,,2,lead,0.3896,,
The Last Of Us,2023,2025,3,Drama,tv,Gabriel Luna,111016,2,male,,,,Tommy Miller,True,,,,,,,3,lead,0.2597,,
The Last Of Us,2023,2025,3,Drama,tv,Isabela Merced,1428070,1,female,,,,Dina,True,,,,,,,4,supporting,0.1948,,
The Last Of Us,2023,2025,3,Drama,tv,Young Mazino,2569691,2,male,,,,Jesse,True,,,,,,,5,supporting,0.1558,,
Bridgerton,2020,2026,7,Drama,tv,Ruth Gemmell,18031,1,female,,,,Lady Violet Bridgerton,True,,,,,,,1,lead,0.5133,,
Bridgerton,2020,2026,7,Drama,tv,Luke Thompson,1127887,2,male,,,,Benedict Bridgerton,True,,,,,,,3,lead,0.1711,,
Bridgerton,2020,2026,7,Drama,tv,Yerin Ha,2611199,1,female,,,,Sophie Baek,True,,,,,,,7,supporting,0.0733,,
Bridgerton,2020,2026,7,Drama,tv,Luke Newton,1794961,2,male,,,,Colin Bridgerton,True,,,,,,,8,supporting,0.0642,,
Bridgerton,2020,2026,7,Drama,tv,Claudia Jessie,1439488,1,female,,,,Eloise Bridgerton,True,,,,,,,12,minor,0.0428,,
Bridgerton,2020,2026,7,Drama,tv,Florence Hunt,2908684,1,female,,,,Hyacinth Bridgerton,True,,,,,,,13,minor,0.0395,,
Bridgerton,2020,2026,7,Drama,tv,Will Tilston,1686681,2,male,,,,Gregory Bridgerton,True,,,,,,,14,minor,0.0367,,
Bridgerton,2020,2026,7,Drama,tv,Adjoa Andoh,109651,1,female,,,,Lady Agatha Danbury,True,,,,,,,16,minor,0.0321,,
Bridgerton,2020,2026,7,Drama,tv,Julie Andrews,5823,1,female,,,,Lady Whistledown (voice),False,,,,,,,19,minor,0.027,,
South Park,1997,2025,29,Animation|Comedy,tv,Trey Parker,34517,2,male,,,,Eric Cartman / Stan Marsh (voice),False,,,,,,,1,lead,0.5607,,
South Park,1997,2025,29,Animation|Comedy,tv,Matt Stone,34518,2,male,,,,Kyle Broflovski / Kenny McCormick (voice),False,,,,,,,2,lead,0.2804,,
South Park,1997,2025,29,Animation|Comedy,tv,Mona Marshall,111466,1,female,,,,Sheila Broflovski (voice),False,,,,,,,5,supporting,0.1121,,
South Park,1997,2025,29,Animation|Comedy,tv,Jennifer Howell,1229787,1,female,,,,Bebe Stevens (voice),False,,,,,,,12,minor,0.0467,,
Orange Is The New Black,2013,2019,7,Drama|Comedy|Crime,tv,Taylor Schilling,221809,1,female,,,,Piper Chapman,True,,,,,,,1,lead,0.3157,,
Orange Is The New Black,2013,2019,7,Drama|Comedy|Crime,tv,Laura Prepon,18974,1,female,,,,Alex Vause,True,,,,,,,2,lead,0.1579,,
Orange Is The New Black,2013,2019,7,Drama|Comedy|Crime,tv,Kate Mulgrew,35317,1,female,,,,Galina 'Red' Reznikov,True,,,,,,,3,lead,0.1052,,
Orange Is The New Black,2013,2019,7,Drama|Comedy|Crime,tv,Natasha Lyonne,10871,1,female,,,,Nicky Nichols,True,,,,,,,4,supporting,0.0789,,
Orange Is The New Black,2013,2019,7,Drama|Comedy|Crime,tv,Selenis Leyva,162503,1,female,,,,Gloria Mendoza,True,,,,,,,6,supporting,0.0526,,
Orange Is The New Black,2013,2019,7,Drama|Comedy|Crime,tv,Elizabeth Rodriguez,65421,1,female,,,,Aleida Diaz,True,,,,,,,7,supporting,0.0451,,
