title,start_year,end_year,genres,tmdb_id,media_type,actor_name,actor_tmdb_id,actor_gender_code,actor_ethnicity,actor_sexuality,actor_age_at_release,character_name,character_gender,character_ethnicity,character_sexuality,gender_mismatch,ethnicity_mismatch,sexuality_mismatch,billing_order,role_type,prominence_score,sympathy_coding,arc_quality
The Boys,2019,2026,Sci-Fi & Fantasy|Action & Adventure,76479,tv,Tomer Capone,1550587,2,,,,Serge / Frenchie,,,,,,,9,supporting,,,
The Boys,2019,2026,Sci-Fi & Fantasy|Action & Adventure,76479,tv,Karen Fukuhara,1461608,1,,,,Kimiko Miyashiro,,,,,,,10,supporting,,,
The Boys,2019,2026,Sci-Fi & Fantasy|Action & Adventure,76479,tv,Nathan Mitchell,229422,2,,,,Black Noir II,,,,,,,13,minor,,,
The Boys,2019,2026,Sci-Fi & Fantasy|Action & Adventure,76479,tv,Colby Minifie,1157294,1,,,,Ashley Barrett,,,,,,,14,minor,,,
The Boys,2019,2026,Sci-Fi & Fantasy|Action & Adventure,76479,tv,Cameron Crovetti,1696015,2,,,,Ryan,,,,,,,17,minor,,,
The Boys,2019,2026,Sci-Fi & Fantasy|Action & Adventure,76479,tv,Susan Heyward,1422261,1,,,,Jessica Bradley / Sister Sage,,,,,,,18,minor,,,
The Boys,2019,2026,Sci-Fi & Fantasy|Action & Adventure,76479,tv,Valorie Curry,1181426,1,,,,Misty Tucker Gray / Firecracker,,,,,,,20,minor,,,
Grey's Anatomy,2005,2026,Drama,1416,tv,Ellen Pompeo,9280,1,,,,Meredith Grey,,,,,,,1,lead,,,
Grey's Anatomy,2005,2026,Drama,1416,tv,Chandra Wilson,171075,1,,,,Miranda Bailey,,,,,,,2,lead,,,
Grey's Anatomy,2005,2026,Drama,1416,tv,James Pickens Jr.,25544,2,,,,Richard Webber,,,,,,,5,supporting,,,
Grey's Anatomy,2005,2026,Drama,1416,tv,Caterina Scorsone,81684,1,,,,Amelia Shepherd,,,,,,,7,supporting,,,
Grey's Anatomy,2005,2026,Drama,1416,tv,Camilla Luddington,236021,1,,,,Jo Wilson,,,,,,,8,supporting,,,
Grey's Anatomy,2005,2026,Drama,1416,tv,Kevin McKidd,9013,2,,,,Owen Hunt,,,,,,,9,supporting,,,
Grey's Anatomy,2005,2026,Drama,1416,tv,Kim Raver,17836,1,,,,Teddy Altman,,,,,,,11,minor,,,
Grey's Anatomy,2005,2026,Drama,1416,tv,Jason George,95475,2,,,,Ben Warren,,,,,,,14,minor,,,
Grey's Anatomy,2005,2026,Drama,1416,tv,Chris Carmack,87440,2,,,,Atticus Lincoln,,,,,,,16,minor,,,
Grey's Anatomy,2005,2026,Drama,1416,tv,Anthony Hill,1583975,2,,,,Winston Ndugu,,,,,,,18,minor,,,
Grey's Anatomy,2005,2026,Drama,1416,tv,Adelaide Kane,131781,1,,,,Jules Millin,,,,,,,20,minor,,,
Peaky Blinders,2013,2022,Drama|Crime,60574,tv,Cillian Murphy,2037,2,,,,Thomas Shelby,,,,,,,1,lead,,,
Peaky Blinders,2013,2022,Drama|Crime,60574,tv,Paul Anderson,220448,2,,,,Arthur Shelby,,,,,,,2,lead,,,
Peaky Blinders,2013,2022,Drama|Crime,60574,tv,Sophie Rundle,1088620,1,,,,Ada Shelby,,,,,,,7,supporting,,,
Peaky Blinders,2013,2022,Drama|Crime,60574,tv,Natasha O'Keeffe,1167897,1,,,,Lizzie Stark,,,,,,,13,minor,,,
Game of Thrones,2011,2019,Sci-Fi & Fantasy|Drama|Action & Adventure,1399,tv,Peter Dinklage,22970,2,,,,Tyrion 'The Halfman' Lannister,,,,,,,1,lead,,,
Game of Thrones,2011,2019,Sci-Fi & Fantasy|Drama|Action & Adventure,1399,tv,Kit Harington,239019,2,,,,Jon Snow,,,,,,,2,lead,,,
Game of Thrones,2011,2019,Sci-Fi & Fantasy|Drama|Action & Adventure,1399,tv,Nikolaj Coster-Waldau,12795,2,,,,Sir Jaime 'Kingslayer' Lannister,,,,,,,6,supporting,,,
Game of Thrones,2011,2019,Sci-Fi & Fantasy|Drama|Action & Adventure,1399,tv,Lena Headey,17286,1,,,,Cersei Lannister,,,,,,,7,supporting,,,
Game of Thrones,2011,2019,Sci-Fi & Fantasy|Drama|Action & Adventure,1399,tv,Emilia Clarke,1223786,1,,,,Daenerys Targaryen,,,,,,,9,supporting,,,
Game of Thrones,2011,2019,Sci-Fi & Fantasy|Drama|Action & Adventure,1399,tv,Liam Cunningham,15498,2,,,,Davos Seaworth,,,,,,,10,supporting,,,
Game of Thrones,2011,2019,Sci-Fi & Fantasy|Drama|Action & Adventure,1399,tv,Maisie Williams,1181313,1,,,,Arya Stark,,,,,,,11,minor,,,
Game of Thrones,2011,2019,Sci-Fi & Fantasy|Drama|Action & Adventure,1399,tv,Isaac Hempstead Wright,239020,2,,,,Brandon 'Bran' Stark,,,,,,,13,minor,,,
Game of Thrones,2011,2019,Sci-Fi & Fantasy|Drama|Action & Adventure,1399,tv,Sophie Turner,1001657,1,,,,Sansa Stark,,,,,,,16,minor,,,
Game of Thrones,2011,2019,Sci-Fi & Fantasy|Drama|Action & Adventure,1399,tv,John Bradley,1010135,2,,,,Samwell 'Sam' Tarly,,,,,,,18,minor,,,
Game of Thrones,2011,2019,Sci-Fi & Fantasy|Drama|Action & Adventure,1399,tv,Rory McCann,3075,2,,,,Sandor 'The Hound' Clegane,,,,,,,20,minor,,,
NCIS,2003,2026,Crime|Drama|Action & Adventure,4614,tv,Sean Murray,1230381,2,,,,Timothy McGee,,,,,,,2,lead,,,
NCIS,2003,2026,Crime|Drama|Action & Adventure,4614,tv,Wilmer Valderrama,18975,2,,,,Nick Torres,,,,,,,4,supporting,,,
NCIS,2003,2026,Crime|Drama|Action & Adventure,4614,tv,Katrina Law,164930,1,,,,Jessica Knight,,,,,,,5,supporting,,,
NCIS,2003,2026,Crime|Drama|Action & Adventure,4614,tv,Brian Dietzen,1213580,2,,,,Jimmy Palmer,,,,,,,7,supporting,,,
NCIS,2003,2026,Crime|Drama|Action & Adventure,4614,tv,Rocky Carroll,27448,2,,,,Leon Vance,,,,,,,16,minor,,,
NCIS,2003,2026,Crime|Drama|Action & Adventure,4614,tv,Diona Reasonover,1470346,1,,,,Kasie Hines,,,,,,,17,minor,,,
NCIS,2003,2026,Crime|Drama|Action & Adventure,4614,tv,Gary Cole,21163,2,,,,Alden Parker,,,,,,,18,minor,,,
Shameless,2011,2021,Drama|Comedy,34307,tv,William H. Macy,3905,2,,,,Frank Gallagher,,,,,,,2,lead,,,
Shameless,2011,2021,Drama|Comedy,34307,tv,Jeremy Allen White,206905,2,,,,Lip Gallagher,,,,,,,4,supporting,,,
Shameless,2011,2021,Drama|Comedy,34307,tv,Ethan Cutkosky,132213,2,,,,Carl Gallagher,,,,,,,5,supporting,,,
Shameless,2011,2021,Drama|Comedy,34307,tv,Shanola Hampton,110531,1,,,,Veronica Fisher,,,,,,,6,supporting,,,
Shameless,2011,2021,Drama|Comedy,34307,tv,Steve Howey,81388,2,,,,Kevin Ball,,,,,,,7,supporting,,,
Shameless,2011,2021,Drama|Comedy,34307,tv,Emma Kenney,1252801,1,,,,Debbie Gallagher,,,,,,,8,supporting,,,
Shameless,2011,2021,Drama|Comedy,34307,tv,Christian Isaiah,2563541,2,,,,Liam Gallagher,,,,,,,9,supporting,,,
Shameless,2011,2021,Drama|Comedy,34307,tv,Cameron Monaghan,37089,2,,,,Ian Gallagher,,,,,,,10,supporting,,,
Shameless,2011,2021,Drama|Comedy,34307,tv,Noel Fisher,80352,2,,,,Mickey Milkovich,,,,,,,11,minor,,,
Shameless,2011,2021,Drama|Comedy,34307,tv,Kate Miner,214695,1,,,,Tami Tamietti,,,,,,,13,minor,,,
Breaking Bad ,2008,2013,Drama|Crime,1396,tv,Bryan Cranston,17419,2,,,,Walter White,,,,,,,1,lead,,,
Breaking Bad ,2008,2013,Drama|Crime,1396,tv,Aaron Paul,84497,2,,,,Jesse Pinkman,,,,,,,2,lead,,,
Breaking Bad ,2008,2013,Drama|Crime,1396,tv,Anna Gunn,134531,1,,,,Skyler White,,,,,,,3,lead,,,
Breaking Bad ,2008,2013,Drama|Crime,1396,tv,RJ Mitte,209674,2,,,,Walter White Jr.,,,,,,,4,supporting,,,
Breaking Bad ,2008,2013,Drama|Crime,1396,tv,Dean Norris,14329,2,,,,Hank Schrader,,,,,,,5,supporting,,,
Breaking Bad ,2008,2013,Drama|Crime,1396,tv,Betsy Brandt,1217934,1,,,,Marie Schrader,,,,,,,6,supporting,,,
Breaking Bad ,2008,2013,Drama|Crime,1396,tv,Bob Odenkirk,59410,2,,,,Saul Goodman,,,,,,,8,supporting,,,
Breaking Bad ,2008,2013,Drama|Crime,1396,tv,Jonathan Banks,783,2,,,,Mike Ehrmantraut,,,,,,,10,supporting,,,
Modern Family,2009,2020,Comedy,1421,tv,Ed O'Neill,18977,2,,,,Jay Pritchett,,,,,,,1,lead,,,
Modern Family,2009,2020,Comedy,1421,tv,Sofía Vergara,63522,1,,,,Gloria Delgado-Pritchett,,,,,,,2,lead,,,
Modern Family,2009,2020,Comedy,1421,tv,Julie Bowen,31171,1,,,,Claire Dunphy,,,,,,,3,lead,,,
Modern Family,2009,2020,Comedy,1421,tv,Ty Burrell,15232,2,,,,Phil Dunphy,,,,,,,4,supporting,,,
Modern Family,2009,2020,Comedy,1421,tv,Jesse Tyler Ferguson,204815,2,,,,Mitchell Pritchett,,,,,,,5,supporting,,,
Modern Family,2009,2020,Comedy,1421,tv,Eric Stonestreet,156962,2,,,,Cameron Tucker,,,,,,,6,supporting,,,
Modern Family,2009,2020,Comedy,1421,tv,Sarah Hyland,91351,1,,,,Haley Dunphy,,,,,,,7,supporting,,,
Modern Family,2009,2020,Comedy,1421,tv,Ariel Winter,42160,1,,,,Alex Dunphy,,,,,,,8,supporting,,,
Modern Family,2009,2020,Comedy,1421,tv,Nolan Gould,147710,2,,,,Luke Dunphy,,,,,,,9,supporting,,,
Modern Family,2009,2020,Comedy,1421,tv,Rico Rodriguez,206737,2,,,,Manny Delgado,,,,,,,10,supporting,,,
Modern Family,2009,2020,Comedy,1421,tv,Aubrey Anderson-Emmons,1224228,1,,,,Lily Tucker-Pritchett,,,,,,,12,minor,,,
Modern Family,2009,2020,Comedy,1421,tv,Jeremy Maguire,1676910,2,,,,Joe Pritchett,,,,,,,14,minor,,,
Modern Family,2009,2020,Comedy,1421,tv,Reid Ewing,967692,2,,,,Dylan Marshall,,,,,,,15,minor,,,
Friends,1994,2004,Comedy,1668,tv,Jennifer Aniston,4491,1,,,,Rachel Green,,,,,,,1,lead,,,
Friends,1994,2004,Comedy,1668,tv,Courteney Cox,14405,1,,,,Monica Geller,,,,,,,2,lead,,,
Friends,1994,2004,Comedy,1668,tv,Lisa Kudrow,14406,1,,,,Phoebe Buffay,,,,,,,3,lead,,,
Friends,1994,2004,Comedy,1668,tv,Matt LeBlanc,14407,2,,,,Joey Tribbiani,,,,,,,4,supporting,,,
Friends,1994,2004,Comedy,1668,tv,Matthew Perry,14408,2,,,,Chandler Bing,,,,,,,5,supporting,,,
Friends,1994,2004,Comedy,1668,tv,David Schwimmer,14409,2,,,,Ross Geller,,,,,,,6,supporting,,,
The Walking Dead,2010,2022,Action & Adventure|Drama|Sci-Fi & Fantasy,1402,tv,Lauren Cohan,62220,1,,,,Maggie Greene,,,,,,,4,supporting,,,
The Walking Dead,2010,2022,Action & Adventure|Drama|Sci-Fi & Fantasy,1402,tv,Norman Reedus,4886,2,,,,Daryl Dixon,,,,,,,5,supporting,,,
The Walking Dead,2010,2022,Action & Adventure|Drama|Sci-Fi & Fantasy,1402,tv,Jeffrey Dean Morgan,47296,2,,,,Negan Smith,,,,,,,9,supporting,,,
The Walking Dead,2010,2022,Action & Adventure|Drama|Sci-Fi & Fantasy,1402,tv,Melissa McBride,31535,1,,,,Carol Peletier,,,,,,,10,supporting,,,
The Walking Dead,2010,2022,Action & Adventure|Drama|Sci-Fi & Fantasy,1402,tv,Christian Serratos,84224,1,,,,Rosita Espinosa,,,,,,,16,minor,,,
The Walking Dead,2010,2022,Action & Adventure|Drama|Sci-Fi & Fantasy,1402,tv,Seth Gilliam,41688,2,,,,Gabriel Stokes,,,,,,,18,minor,,,
The Walking Dead,2010,2022,Action & Adventure|Drama|Sci-Fi & Fantasy,1402,tv,Ross Marquand,555249,2,,,,Aaron,,,,,,,19,minor,,,
The Walking Dead,2010,2022,Action & Adventure|Drama|Sci-Fi & Fantasy,1402,tv,Josh McDermitt,1252310,2,,,,Eugene Porter,,,,,,,20,minor,,,
American Dad!,2005,2026,Animation|Comedy,1433,tv,Seth MacFarlane,52139,2,,,,Stan Smith / Roger (voice),,,,,,,1,lead,,,
American Dad!,2005,2026,Animation|Comedy,1433,tv,Wendy Schaal,37600,1,,,,Francine Smith (voice),,,,,,,2,lead,,,
American Dad!,2005,2026,Animation|Comedy,1433,tv,Rachael MacFarlane,81668,1,,,,Hayley Smith (voice),,,,,,,3,lead,,,
American Dad!,2005,2026,Animation|Comedy,1433,tv,Scott Grimes,35091,2,,,,Steve Smith (voice),,,,,,,4,supporting,,,
American Dad!,2005,2026,Animation|Comedy,1433,tv,Dee Bradley Baker,23680,2,,,,Klaus (voice),,,,,,,5,supporting,,,
Euphoria,2019,2026,Drama,85552,tv,Zendaya,505710,1,,,,Rue Bennett,,,,,,,1,lead,,,
Euphoria,2019,2026,Drama,85552,tv,Hunter Schafer,2340180,1,,,,Jules Vaughn,,,,,,,2,lead,,,
Euphoria,2019,2026,Drama,85552,tv,Sydney Sweeney,115440,1,,,,Cassie Howard,,,,,,,3,lead,,,
Euphoria,2019,2026,Drama,85552,tv,Jacob Elordi,2034418,2,,,,Nate Jacobs,,,,,,,4,supporting,,,
Euphoria,2019,2026,Drama,85552,tv,Alexa Demie,1497557,1,,,,Maddy Perez,,,,,,,5,supporting,,,
Euphoria,2019,2026,Drama,85552,tv,Maude Apatow,41090,1,,,,Lexi Howard,,,,,,,8,supporting,,,
Euphoria,2019,2026,Drama,85552,tv,Eric Dane,58115,2,,,,Cal Jacobs,,,,,,,10,supporting,,,
Euphoria,2019,2026,Drama,85552,tv,Martha Kelly,1572541,1,,,,Laurie,,,,,,,16,minor,,,
Euphoria,2019,2026,Drama,85552,tv,Chloe Cherry,1585678,1,,,,Faye,,,,,,,17,minor,,,
Euphoria,2019,2026,Drama,85552,tv,Adewale Akinnuoye-Agbaje,31164,2,,,,,,,,,,,18,minor,,,
Euphoria,2019,2026,Drama,85552,tv,Toby Wallace,110419,2,,,,,,,,,,,19,minor,,,
Supernatural,2005,2020,Drama|Mystery|Sci-Fi & Fantasy,1622,tv,Jared Padalecki,49623,2,,,,Sam Winchester,,,,,,,2,lead,,,
Supernatural,2005,2020,Drama|Mystery|Sci-Fi & Fantasy,1622,tv,Jensen Ackles,49624,2,,,,Dean Winchester,,,,,,,4,supporting,,,
Supernatural,2005,2020,Drama|Mystery|Sci-Fi & Fantasy,1622,tv,Misha Collins,42747,2,,,,Castiel,,,,,,,6,supporting,,,
Rick and Morty,2013,2025,Animation|Comedy|Sci-Fi & Fantasy|Action & Adventure,60625,tv,Chris Parnell,51382,2,,,,Jerry Smith (voice),,,,,,,2,lead,,,
Rick and Morty,2013,2025,Animation|Comedy|Sci-Fi & Fantasy|Action & Adventure,60625,tv,Spencer Grammer,176823,1,,,,Summer Smith (voice),,,,,,,3,lead,,,
Rick and Morty,2013,2025,Animation|Comedy|Sci-Fi & Fantasy|Action & Adventure,60625,tv,Sarah Chalke,49001,1,,,,Beth Smith (voice),,,,,,,4,supporting,,,
Rick and Morty,2013,2025,Animation|Comedy|Sci-Fi & Fantasy|Action & Adventure,60625,tv,Ian Cardoni,4322756,2,,,,Rick Sanchez (voice),,,,,,,5,supporting,,,
Rick and Morty,2013,2025,Animation|Comedy|Sci-Fi & Fantasy|Action & Adventure,60625,tv,Harry Belden,4129855,2,,,,Morty Smith (voice),,,,,,,7,supporting,,,
The Last Of Us,2023,2025,Drama,100088,tv,Bella Ramsey,1668004,3,,,,Ellie Williams,,,,,,,2,lead,,,
The Last Of Us,2023,2025,Drama,100088,tv,Gabriel Luna,111016,2,,,,Tommy Miller,,,,,,,3,lead,,,
The Last Of Us,2023,2025,Drama,100088,tv,Isabela Merced,1428070,1,,,,Dina,,,,,,,4,supporting,,,
The Last Of Us,2023,2025,Drama,100088,tv,Young Mazino,2569691,2,,,,Jesse,,,,,,,5,supporting,,,
Bridgerton,2020,2026,Drama,91239,tv,Ruth Gemmell,18031,1,,,,Lady Violet Bridgerton,,,,,,,1,lead,,,
Bridgerton,2020,2026,Drama,91239,tv,Luke Thompson,1127887,2,,,,Benedict Bridgerton,,,,,,,3,lead,,,
Bridgerton,2020,2026,Drama,91239,tv,Yerin Ha,2611199,1,,,,Sophie Baek,,,,,,,7,supporting,,,
Bridgerton,2020,2026,Drama,91239,tv,Luke Newton,1794961,2,,,,Colin Bridgerton,,,,,,,8,supporting,,,
Bridgerton,2020,2026,Drama,91239,tv,Claudia Jessie,1439488,1,,,,Eloise Bridgerton,,,,,,,12,minor,,,
Bridgerton,2020,2026,Drama,91239,tv,Florence Hunt,2908684,1,,,,Hyacinth Bridgerton,,,,,,,13,minor,,,
Bridgerton,2020,2026,Drama,91239,tv,Will Tilston,1686681,2,,,,Gregory Bridgerton,,,,,,,14,minor,,,
Bridgerton,2020,2026,Drama,91239,tv,Adjoa Andoh,109651,1,,,,Lady Agatha Danbury,,,,,,,16,minor,,,
Bridgerton,2020,2026,Drama,91239,tv,Julie Andrews,5823,1,,,,Lady Whistledown (voice),,,,,,,19,minor,,,
South Park,1997,2025,Animation|Comedy,2190,tv,Trey Parker,34517,2,,,,Eric Cartman / Stan Marsh (voice),,,,,,,1,lead,,,
South Park,1997,2025,Animation|Comedy,2190,tv,Matt Stone,34518,2,,,,Kyle Broflovski / Kenny McCormick (voice),,,,,,,2,lead,,,
South Park,1997,2025,Animation|Comedy,2190,tv,Mona Marshall,111466,1,,,,Sheila Broflovski (voice),,,,,,,5,supporting,,,
South Park,1997,2025,Animation|Comedy,2190,tv,Jennifer Howell,1229787,1,,,,Bebe Stevens (voice),,,,,,,12,minor,,,
Orange Is The New Black,2013,2019,Drama|Comedy|Crime,1424,tv,Taylor Schilling,221809,1,,,,Piper Chapman,,,,,,,1,lead,,,
Orange Is The New Black,2013,2019,Drama|Comedy|Crime,1424,tv,Laura Prepon,18974,1,,,,Alex Vause,,,,,,,2,lead,,,
Orange Is The New Black,2013,2019,Drama|Comedy|Crime,1424,tv,Kate Mulgrew,35317,1,,,,Galina 'Red' Reznikov,,,,,,,3,lead,,,
Orange Is The New Black,2013,2019,Drama|Comedy|Crime,1424,tv,Natasha Lyonne,10871,1,,,,Nicky Nichols,,,,,,,4,supporting,,,
Orange Is The New Black,2013,2019,Drama|Comedy|Crime,1424,tv,Selenis Leyva,162503,1,,,,Gloria Mendoza,,,,,,,6,supporting,,,
Orange Is The New Black,2013,2019,Drama|Comedy|Crime,1424,tv,Elizabeth Rodriguez,65421,1,,,,Aleida Diaz,,,,,,,7,supporting,,,
Orange Is The New Black,2013,2019,Drama|Comedy|Crime,1424,tv,Dascha Polanco,1026947,1,,,,Dayanara Diaz,,,,,,,8,supporting,,,
Orange Is The New Black,2013,2019,Drama|Comedy|Crime,1424,tv,Danielle Brooks,1075037,1,,,,Tasha 'Taystee' Jefferson,,,,,,,10,supporting,,,
Orange Is The New Black,2013,2019,Drama|Comedy|Crime,1424,tv,Uzo Aduba,1332680,1,,,,Suzanne 'Crazy Eyes' Warren,,,,,,,11,minor,,,
Orange Is The New Black,2013,2019,Drama|Comedy|Crime,1424,tv,Nick Sandow,95519,2,,,,Joe Caputo,,,,,,,12,minor,,,
Orange Is The New Black,2013,2019,Drama|Comedy|Crime,1424,tv,Jackie Cruz,1443625,1,,,,Marisol 'Flaca' Gonzales,,,,,,,13,minor,,,
Orange Is The New Black,2013,2019,Drama|Comedy|Crime,1424,tv,Yael Stone,1028560,1,,,,Lorna Morello,,,,,,,14,minor,,,
Orange Is The New Black,2013,2019,Drama|Comedy|Crime,1424,tv,Taryn Manning,343,1,,,,Tiffany 'Pennsatucky' Doggett,,,,,,,16,minor,,,
Orange Is The New Black,2013,2019,Drama|Comedy|Crime,1424,tv,Adrienne C. Moore,1443478,1,,,,Cindy Hayes,,,,,,,17,minor,,,
Orange Is The New Black,2013,2019,Drama|Comedy|Crime,1424,tv,Jessica Pimentel,171940,1,,,,Maria Ruiz,,,,,,,18,minor,,,
Orange Is The New Black,2013,2019,Drama|Comedy|Crime,1424,tv,Laura Gómez,1443612,1,,,,Blanca Flores,,,,,,,20,minor,,,
How I Met Your Mother,2005,2014,Comedy,1100,tv,Josh Radnor,144009,2,,,,Ted Mosby,,,,,,,1,lead,,,
How I Met Your Mother,2005,2014,Comedy,1100,tv,Neil Patrick Harris,41686,2,,,,Barney Stinson,,,,,,,2,lead,,,
How I Met Your Mother,2005,2014,Comedy,1100,tv,Jason Segel,41088,2,,,,Marshall Eriksen,,,,,,,3,lead,,,
How I Met Your Mother,2005,2014,Comedy,1100,tv,Alyson Hannigan,21595,1,,,,Lily Aldrin,,,,,,,4,supporting,,,
How I Met Your Mother,2005,2014,Comedy,1100,tv,Cobie Smulders,71189,1,,,,Robin Scherbatsky,,,,,,,5,supporting,,,
How I Met Your Mother,2005,2014,Comedy,1100,tv,Cristin Milioti,204392,1,,,,Tracy McConnell,,,,,,,6,supporting,,,
