actor_name,actor_tmdb_id,actor_sexuality,confidence_sexuality,reasoning_sexuality
Shanola Hampton,110531,Straight,high,Shanola Hampton is married to a man and has not publicly identified as anything other than straight.
Steve Howey,81388,Straight,high,"Steve Howey is married to actress Sarah Shahi, and there is no public information indicating he has identified as anything other than straight."
Emma Kenney,1252801,Unknown,low,"Emma Kenney has not publicly disclosed her sexuality, and there is no clear information regarding her relationships that would indicate a specific category."
Christian Isaiah,2563541,Unknown,low,"There is no publicly available information regarding Christian Isaiah's sexuality, and he has not made any explicit statements about it."
Cameron Monaghan,37089,Unknown,low,"Cameron Monaghan has not publicly disclosed his sexuality, and there is limited information available regarding his relationships."
Noel Fisher,80352,Straight,high,"Noel Fisher is married to a woman, and there is no public information indicating he identifies as anything other than straight."
Kate Miner,214695,Straight,high,"Kate Miner is married to musician and actor Chris Thile, which indicates a heterosexual relationship."
Bryan Cranston,17419,Straight,high,"Bryan Cranston is married to a woman, Robin Dearden, and has not publicly identified as anything other than straight."
Aaron Paul,84497,Straight,high,"Aaron Paul is married to a woman, and there is no public information indicating he has identified as anything other than straight."
Anna Gunn,134531,Straight,high,Anna Gunn has been publicly known to be married to a man and has not disclosed any information suggesting otherwise.
RJ Mitte,209674,Unknown,low,"RJ Mitte has not publicly disclosed his sexuality, and there is limited information available regarding his relationships."
Dean Norris,14329,Straight,high,Dean Norris is married to a woman and has not publicly identified as anything other than straight.
Betsy Brandt,1217934,Straight,high,"Betsy Brandt is known to be married to a man, and there is no public information indicating any same-sex relationships or a different sexual orientation."
Bob Odenkirk,59410,Straight,high,"Bob Odenkirk is married to a woman, and there is no public information indicating he has identified as anything other than straight."
Jonathan Banks,783,Straight,high,Jonathan Banks has been married to a woman and has not publicly identified as anything other than straight.
Ed O'Neill,18977,Straight,high,"Ed O'Neill is married to a woman, which aligns with the definition of being straight. He has not publicly identified as anything other than straight."
Sofía Vergara,63522,Straight,high,"Sofía Vergara has been publicly known to be in relationships with men and was married to Joe Manganiello, which aligns with the classification of 'Straight'."
Julie Bowen,31171,Straight,high,Julie Bowen has been married to a man and has not publicly identified as anything other than straight.
Ty Burrell,15232,Straight,high,"Ty Burrell is married to a woman, and there is no public information indicating he has identified as anything other than straight."
Jesse Tyler Ferguson,204815,Unknown,low,"Returned unexpected category, defaulted to Unknown"
Eric Stonestreet,156962,Straight,high,Eric Stonestreet has publicly identified as straight and has been in relationships with women.
Sarah Hyland,91351,Straight,high,Sarah Hyland has been in a public relationship with a man and has not publicly identified as anything other than straight.
Ariel Winter,42160,Unknown,low,"Ariel Winter has not publicly disclosed her sexuality in a clear manner. While she has discussed her experiences and views on body positivity and self-acceptance, there is no definitive statement regarding her sexual orientation."
Nolan Gould,147710,Unknown,low,"Nolan Gould has not publicly disclosed his sexuality, and there is no clear information regarding his relationships."
Rico Rodriguez,206737,Unknown,low,"Rico Rodriguez has not publicly disclosed his sexuality, and there is no clear information regarding his relationships."
Aubrey Anderson-Emmons,1224228,Unknown,low,"Aubrey Anderson-Emmons has not publicly disclosed their sexuality, and there is no available information regarding their relationships."
Jeremy Maguire,1676910,Unknown,low,"There is no publicly available information regarding Jeremy Maguire's sexuality, and he has not made any statements about it."
Reid Ewing,967692,Unknown,low,"Reid Ewing has not publicly disclosed his sexuality, and there is limited information available regarding his relationships."
Jennifer Aniston,4491,Straight,high,Jennifer Aniston has been in several high-profile relationships with men and was previously married to a man (Brad Pitt). She has not publicly identified as anything other than straight.
Courteney Cox,14405,Straight,high,Courteney Cox has been in public relationships with men and was previously married to David Arquette. There is no public disclosure of her identifying as anything other than straight.
Lisa Kudrow,14406,Straight,high,"Lisa Kudrow is married to a man, and there is no public information indicating she has identified as anything other than straight."
Matt LeBlanc,14407,Straight,high,Matt LeBlanc has been publicly known to be in relationships with women and has not publicly identified as anything other than straight.
Matthew Perry,14408,Straight,high,Matthew Perry has been publicly known to have relationships with women and has not publicly identified as anything other than straight.
David Schwimmer,14409,Straight,high,"David Schwimmer has been publicly known to be in relationships with women and was previously married to a woman, which aligns with the classification of 'Straight'."
Lauren Cohan,62220,Unknown,low,"Lauren Cohan has not publicly disclosed her sexuality, and there is limited information available regarding her relationships."
Norman Reedus,4886,Straight,high,Norman Reedus has been in a long-term relationship with a woman and has not publicly identified as anything other than straight.
Jeffrey Dean Morgan,47296,Straight,high,"Jeffrey Dean Morgan is married to actress Hilarie Burton, and there is no public information indicating he has identified as anything other than straight."
Melissa McBride,31535,Unknown,low,"Melissa McBride has not publicly disclosed her sexuality, and there is no clear information regarding her relationships that would indicate a specific category."
Christian Serratos,84224,Straight,high,Christian Serratos is known to be in a long-term relationship with a man and has not publicly identified as anything other than straight.
Seth Gilliam,41688,Unknown,low,"Seth Gilliam has not publicly disclosed his sexuality, and there is no clear information regarding his relationships that would allow for a definitive categorization."
Ross Marquand,555249,Unknown,low,"Ross Marquand has not publicly disclosed his sexuality, and there is no clear information regarding his relationships that would allow for a definitive categorization."
Josh McDermitt,1252310,Straight,high,"Josh McDermitt is known to be married to a woman, and there is no public information indicating he has identified as anything other than straight."
Seth MacFarlane,52139,Straight,high,Seth MacFarlane has been publicly known to date women and has not disclosed any same-sex relationships or identified as anything other than straight.
Wendy Schaal,37600,Unknown,low,"Wendy Schaal has not publicly disclosed her sexuality, and there is no clear information regarding her relationships that would indicate a specific category."
Rachael MacFarlane,81668,Unknown,low,"Rachael MacFarlane has not publicly disclosed her sexuality, and there is no clear information regarding her relationships that would indicate a specific category."
Scott Grimes,35091,Straight,high,Scott Grimes has been publicly known to be in relationships with women and has not publicly identified as anything other than straight.
Dee Bradley Baker,23680,Straight,high,"Dee Bradley Baker is known to be married to a woman, and there is no public information indicating any same-sex relationships or a different sexual orientation."
Zendaya,505710,Unknown,medium,"Zendaya has not publicly disclosed her sexuality in a definitive manner. While she has been linked to opposite-sex relationships, she has not explicitly identified her sexual orientation."
Hunter Schafer,2340180,Unknown,low,"Hunter Schafer has not publicly disclosed her sexuality in a clear manner. While she has discussed her identity as a transgender woman, she has not specified her sexual orientation."
Sydney Sweeney,115440,Unknown,medium,"Sydney Sweeney has not publicly disclosed her sexuality in a clear manner. While she has been in relationships with men, there is no explicit statement from her regarding her sexual orientation."
Jacob Elordi,2034418,Straight,high,"Jacob Elordi has been publicly linked to opposite-sex relationships, including a notable relationship with actress Kaia Gerber, and has not publicly identified as anything other than straight."
Alexa Demie,1497557,Unknown,low,"Alexa Demie has not publicly disclosed her sexuality, and there is limited information available regarding her relationships."
Maude Apatow,41090,Unknown,low,"Maude Apatow has not publicly disclosed her sexuality, and there is no clear information regarding her relationships that would indicate a specific category."
Eric Dane,58115,Straight,high,"Eric Dane is married to a woman, Rebecca Gayheart, and has not publicly identified as anything other than straight."
Martha Kelly,1572541,Unknown,low,"Martha Kelly has not publicly disclosed her sexuality, and there is no clear information regarding her relationships."
Chloe Cherry,1585678,Unknown,low,"Chloe Cherry has not publicly disclosed her sexuality, and there is no clear information regarding her relationships that would allow for a definitive categorization."
Adewale Akinnuoye-Agbaje,31164,Unknown,low,"Adewale Akinnuoye-Agbaje has not publicly disclosed his sexuality, and there is no clear information regarding his relationships that would indicate a specific category."
Toby Wallace,110419,Unknown,low,"Toby Wallace has not publicly disclosed his sexuality, and there is no clear information regarding his relationships."
Jared Padalecki,49623,Straight,high,"Jared Padalecki is married to a woman, Genevieve Cortese, and has not publicly identified as anything other than straight."
Jensen Ackles,49624,Straight,high,"Jensen Ackles is married to a woman, Danneel Harris, and has not publicly identified as anything other than straight."
Misha Collins,42747,Straight,high,"Misha Collins is married to a woman, Vicki Collins, and has not publicly identified as anything other than straight."
Chris Parnell,51382,Straight,high,Chris Parnell is married to an opposite-sex partner and has not publicly identified as anything other than straight.
Spencer Grammer,176823,Unknown,low,"Spencer Grammer has not publicly disclosed her sexuality, and there is no clear information regarding her relationships that would allow for a definitive categorization."
Sarah Chalke,49001,Straight,high,Sarah Chalke has been in a long-term relationship with a man and has not publicly identified as anything other than straight.
Ian Cardoni,4322756,Unknown,low,"There is limited public information regarding Ian Cardoni's sexuality, and he has not made any explicit statements about it."
Harry Belden,4129855,Unknown,low,"There is no publicly available information regarding Harry Belden's sexuality, and he has not made any statements on the subject."
Bella Ramsey,1668004,Unknown,low,"Bella Ramsey has not publicly disclosed their sexuality, and there is limited information available regarding their personal relationships."
Gabriel Luna,111016,Straight,high,Gabriel Luna is known to be in a public relationship with a woman and has not publicly identified as anything other than straight.
Isabela Merced,1428070,Unknown,low,"Isabela Merced has not publicly disclosed her sexuality, and there is no clear information regarding her relationships that would indicate a specific category."
Young Mazino,2569691,Unknown,low,"There is no publicly available information regarding Young Mazino's sexuality, and he has not made any explicit statements on the topic."
Ruth Gemmell,18031,Unknown,low,"There is no publicly available information regarding Ruth Gemmell's sexuality, and she has not made any explicit statements about it."
Luke Thompson,1127887,Unknown,low,"There is no publicly available information regarding Luke Thompson's sexuality, and he has not made any explicit statements on the matter."
Yerin Ha,2611199,Unknown,low,"Yerin Ha has not publicly disclosed her sexuality, and there is no available information regarding her relationships that would allow for a definitive categorization."
Luke Newton,1794961,Straight,high,"Luke Newton is known to be in a public relationship with a woman, and there is no public information indicating he identifies as anything other than straight."
Claudia Jessie,1439488,Unknown,low,"Claudia Jessie has not publicly disclosed her sexuality, and there is no clear information regarding her relationships that would allow for a definitive categorization."
Florence Hunt,2908684,Unknown,low,"There is no publicly available information regarding Florence Hunt's sexuality, and she has not made any explicit statements about it."
Will Tilston,1686681,Unknown,low,"There is no publicly available information regarding Will Tilston's sexuality, and he has not made any statements about it."
Adjoa Andoh,109651,Unknown,low,"Adjoa Andoh has not publicly disclosed her sexuality, and there is no clear information regarding her relationships that would allow for a definitive categorization."
Julie Andrews,5823,Straight,high,Julie Andrews has been married to men and has not publicly identified as anything other than straight.
Trey Parker,34517,Straight,high,Trey Parker has been in a public opposite-sex relationship and has not publicly identified as anything other than straight.
Matt Stone,34518,Straight,high,"Matt Stone is married to a woman, which aligns with the definition of being straight. There is no public information indicating otherwise."
Mona Marshall,111466,Unknown,low,"Mona Marshall has not publicly disclosed her sexuality, and there is no clear information regarding her relationships."
Jennifer Howell,1229787,Unknown,low,"There is limited public information regarding Jennifer Howell's sexuality, and she has not made any explicit statements about it."
Taylor Schilling,221809,Unknown,medium,"Taylor Schilling has been in relationships with both men and women, but has not explicitly labeled her sexuality. She has referred to herself as 'queer' in interviews, which suggests a non-heteronormative identity, but has not provided a clear, specific label."
Laura Prepon,18974,Straight,high,"Laura Prepon is known to be married to a man, and she has not publicly identified as anything other than straight."
Kate Mulgrew,35317,Straight,high,"Kate Mulgrew has publicly identified as straight and has been in relationships with men, including a marriage to a man."
Natasha Lyonne,10871,Unknown,low,"Natasha Lyonne has not publicly disclosed her sexuality in a clear manner. While she has been in relationships with both men and women, she has not explicitly identified with a specific label."
Selenis Leyva,162503,Unknown,low,"Selenis Leyva has not publicly disclosed her sexuality, and there is limited information available regarding her personal relationships."
Elizabeth Rodriguez,65421,Unknown,low,"Elizabeth Rodriguez has not publicly disclosed her sexuality, and there is limited information available regarding her personal relationships."
Dascha Polanco,1026947,Unknown,low,"Dascha Polanco has not publicly disclosed her sexuality, and there is no clear information regarding her relationships that would allow for a definitive categorization."
Danielle Brooks,1075037,Unknown,low,"Danielle Brooks has not publicly disclosed her sexuality in a clear manner. While she has been in relationships, she has not specified her sexual orientation."
Uzo Aduba,1332680,Unknown,low,"Uzo Aduba has not publicly disclosed their sexuality, and there is no clear information regarding their relationships that would indicate a specific category."
Nick Sandow,95519,Unknown,low,"There is no publicly available information regarding Nick Sandow's sexuality, and he has not made any explicit statements about it."
Jackie Cruz,1443625,Unknown,low,"Jackie Cruz has not publicly disclosed her sexuality, and there is no clear information regarding her relationships that would allow for a definitive categorization."
Yael Stone,1028560,Unknown,low,"Yael Stone has not publicly disclosed her sexuality, and there is no clear information regarding her relationships that would allow for a definitive categorization."
Taryn Manning,343,Unknown,low,Taryn Manning has not publicly disclosed her sexuality in a clear manner. There are no definitive statements or relationships that provide a clear categorization.
Adrienne C. Moore,1443478,Unknown,low,"Adrienne C. Moore has not publicly disclosed her sexuality, and there is no clear information regarding her relationships that would indicate a specific category."
Jessica Pimentel,171940,Unknown,low,"Jessica Pimentel has not publicly disclosed her sexuality, and there is no clear information regarding her relationships that would allow for a definitive categorization."
Laura Gómez,1443612,Unknown,low,"Laura Gómez has not publicly disclosed her sexuality, and there is no clear information regarding her relationships that would allow for a definitive categorization."
Josh Radnor,144009,Straight,high,Josh Radnor has been in public relationships with women and has not publicly identified as anything other than straight.
Neil Patrick Harris,41686,Unknown,low,"Returned unexpected category, defaulted to Unknown"
Jason Segel,41088,Straight,high,Jason Segel has been in public relationships with women and has not publicly identified as anything other than straight.
Alyson Hannigan,21595,Straight,high,"Alyson Hannigan is married to Alexis Denisof, a man, and has not publicly identified as anything other than straight."
Cobie Smulders,71189,Straight,high,"Cobie Smulders is married to actor Taran Killam, and there is no public information indicating she has identified as anything other than straight."
Cristin Milioti,204392,Unknown,low,"Cristin Milioti has not publicly disclosed her sexuality, and there is no clear information regarding her relationships that would allow for a definitive categorization."
Andy Samberg,62861,Straight,high,"Andy Samberg is married to a woman, Joanna Newsom, and has not publicly identified as anything other than straight."
Melissa Fumero,1220767,Straight,high,"Melissa Fumero is married to a man, and there is no public information indicating she has identified as anything other than straight."
Terry Crews,53256,Straight,high,"Terry Crews is married to a woman, Rebecca Crews, and has publicly discussed his heterosexual relationships without indicating any same-sex relationships."
Joe Lo Truglio,21131,Straight,high,"Joe Lo Truglio is married to actress Beth Dover, and there is no public information indicating he identifies as anything other than straight."
Stephanie Beatriz,968367,Bisexual,high,Stephanie Beatriz has publicly identified as bisexual.
Andre Braugher,6861,Straight,high,"Andre Braugher is married to a woman, and there is no public information indicating he has identified as anything other than straight."
Dirk Blocker,123016,Straight,high,"Dirk Blocker is known to be married to a woman, and there is no public information indicating any same-sex relationships or a different sexual orientation."
Joel McKinnon Miller,88950,Straight,high,"Joel McKinnon Miller is married to a woman, and there is no public information indicating he has identified as anything other than straight."
Christian Bale,3894,Straight,high,"Christian Bale is married to a woman, Sibi Blazic, and has not publicly identified as anything other than straight."
Heath Ledger,1810,Unknown,low,"Heath Ledger was known to have had relationships with women and was in a long-term relationship with Michelle Williams, but he never publicly discussed his sexuality or identified with any specific label. There are no clear statements from him regarding his sexual orientation."
Aaron Eckhart,6383,Straight,high,Aaron Eckhart has been in public relationships with women and has not publicly identified as anything other than straight.
Michael Caine,3895,Straight,high,Michael Caine has been married to women and has not publicly identified as anything other than straight.
Maggie Gyllenhaal,1579,Straight,high,"Maggie Gyllenhaal is married to Peter Sarsgaard, and there is no public information indicating she identifies as anything other than straight."
Gary Oldman,64,Straight,high,Gary Oldman has been married to women and has not publicly identified as anything other than straight.
Morgan Freeman,192,Straight,high,Morgan Freeman has been married to women and has not publicly identified as anything other than straight.
Monique Gabriela Curnen,53651,Unknown,low,"There is no publicly available information regarding Monique Gabriela Curnen's sexuality, and she has not made any explicit statements about it."
Ron Dean,57597,Unknown,low,"There is no publicly available information regarding Ron Dean's sexuality, and he has not made any explicit statements about it."
Chin Han,101015,Unknown,low,"Chin Han has not publicly disclosed his sexuality, and there is no clear information regarding his relationships that would allow for a definitive categorization."
Nestor Carbonell,21316,Straight,high,"Nestor Carbonell is married to a woman, and there is no public information indicating he has identified as anything other than straight."
Eric Roberts,21315,Straight,high,"Eric Roberts has been married to a woman, Eliza Roberts, since 1992, and there is no public information indicating he has identified as anything other than straight."
Ritchie Coster,13939,Unknown,low,"There is no publicly available information regarding Ritchie Coster's sexuality, and he has not made any explicit statements about it."
Anthony Michael Hall,1904,Straight,high,Anthony Michael Hall has been publicly known to be in relationships with women and has not publicly identified as anything other than straight.
Keith Szarabajka,87957,Unknown,low,"There is no publicly available information regarding Keith Szarabajka's sexuality, and he has not made any explicit statements on the matter."
Colin McFarlane,128386,Unknown,low,"Colin McFarlane has not publicly disclosed his sexuality, and there is no clear information regarding his relationships that would indicate a specific category."
Joshua Harto,34544,Unknown,low,"There is no publicly available information regarding Joshua Harto's sexuality, and he has not made any explicit statements about it."
Melinda McGraw,58692,Unknown,low,"There is no publicly available information regarding Melinda McGraw's sexuality, and she has not made any explicit statements about it."
Nathan Gamble,18052,Unknown,low,"Nathan Gamble has not publicly disclosed his sexuality, and there is no clear information regarding his relationships."
Song Kang-ho,20738,Unknown,low,"There is no publicly available information regarding Song Kang-ho's sexuality, and he has not made any explicit statements about it."
Lee Sun-kyun,115290,Straight,high,"Lee Sun-kyun is married to actress Jeon Hye-jin, and there is no public information indicating any same-sex relationships or a different sexual orientation."
Cho Yeo-jeong,556435,Unknown,low,"Cho Yeo-jeong has not publicly disclosed her sexuality, and there is no clear information regarding her relationships that would allow for a definitive categorization."
Choi Woo-shik,1255881,Unknown,low,"Choi Woo-shik has not publicly disclosed his sexuality, and there is no clear information regarding his relationships that would allow for a definitive categorization."
Park So-dam,1442583,Unknown,low,"Park So-dam has not publicly disclosed her sexuality, and there is no clear information regarding her relationships that would allow for a definitive categorization."
Lee Jung-eun,1572354,Unknown,low,"There is no publicly available information regarding Lee Jung-eun's sexuality, and she has not made any explicit statements about it."
Jang Hye-jin,2158882,Unknown,low,"There is no publicly available information regarding Jang Hye-jin's sexuality, and she has not made any explicit statements about it."
Park Myung-hoon,1694435,Unknown,low,"There is no publicly available information regarding Park Myung-hoon's sexuality, and he has not made any explicit statements about it."
